step,value,metric,run_id,algorithm,observation_mode,reward_mode
14399,-2.1791000366210938,training_reward,dqn_compact_coverage,dqn,compact,coverage
14904,-2.7423999309539795,training_reward,dqn_compact_coverage,dqn,compact,coverage
15031,-2.289099931716919,training_reward,dqn_compact_coverage,dqn,compact,coverage
15799,-2.667099952697754,training_reward,dqn_compact_coverage,dqn,compact,coverage
15917,-2.4711999893188477,training_reward,dqn_compact_coverage,dqn,compact,coverage
16182,-2.5680999755859375,training_reward,dqn_compact_coverage,dqn,compact,coverage
16787,-2.5629000663757324,training_reward,dqn_compact_coverage,dqn,compact,coverage
16924,-2.1231000423431396,training_reward,dqn_compact_coverage,dqn,compact,coverage
17144,-1.912500023841858,training_reward,dqn_compact_coverage,dqn,compact,coverage
17308,-2.0778000354766846,training_reward,dqn_compact_coverage,dqn,compact,coverage
17517,-2.3852999210357666,training_reward,dqn_compact_coverage,dqn,compact,coverage
17855,-1.9326000213623047,training_reward,dqn_compact_coverage,dqn,compact,coverage
17935,-1.7108999490737915,training_reward,dqn_compact_coverage,dqn,compact,coverage
18134,-1.6442999839782715,training_reward,dqn_compact_coverage,dqn,compact,coverage
18230,-1.3504999876022339,training_reward,dqn_compact_coverage,dqn,compact,coverage
18315,-1.2657999992370605,training_reward,dqn_compact_coverage,dqn,compact,coverage
18339,-1.0851999521255493,training_reward,dqn_compact_coverage,dqn,compact,coverage
19086,-1.757599949836731,training_reward,dqn_compact_coverage,dqn,compact,coverage
19299,-1.569700002670288,training_reward,dqn_compact_coverage,dqn,compact,coverage
19460,-1.5645999908447266,training_reward,dqn_compact_coverage,dqn,compact,coverage
19615,-1.1253999471664429,training_reward,dqn_compact_coverage,dqn,compact,coverage
19849,-1.3600000143051147,training_reward,dqn_compact_coverage,dqn,compact,coverage
20285,-1.413100004196167,training_reward,dqn_compact_coverage,dqn,compact,coverage
20420,-1.1390999555587769,training_reward,dqn_compact_coverage,dqn,compact,coverage
20959,-1.308899998664856,training_reward,dqn_compact_coverage,dqn,compact,coverage
21122,-1.3083000183105469,training_reward,dqn_compact_coverage,dqn,compact,coverage
21342,-0.8863000273704529,training_reward,dqn_compact_coverage,dqn,compact,coverage
21488,-1.079699993133545,training_reward,dqn_compact_coverage,dqn,compact,coverage
21525,-0.6736000180244446,training_reward,dqn_compact_coverage,dqn,compact,coverage
21634,-0.6456999778747559,training_reward,dqn_compact_coverage,dqn,compact,coverage
21680,-0.7303000092506409,training_reward,dqn_compact_coverage,dqn,compact,coverage
21771,-0.7389000058174133,training_reward,dqn_compact_coverage,dqn,compact,coverage
21867,-0.6848000288009644,training_reward,dqn_compact_coverage,dqn,compact,coverage
22098,-0.7488999962806702,training_reward,dqn_compact_coverage,dqn,compact,coverage
22646,-0.8737999796867371,training_reward,dqn_compact_coverage,dqn,compact,coverage
22659,-0.7821999788284302,training_reward,dqn_compact_coverage,dqn,compact,coverage
22689,-0.7749000191688538,training_reward,dqn_compact_coverage,dqn,compact,coverage
22712,-0.7781999707221985,training_reward,dqn_compact_coverage,dqn,compact,coverage
22760,-0.6500999927520752,training_reward,dqn_compact_coverage,dqn,compact,coverage
23402,-0.9686999917030334,training_reward,dqn_compact_coverage,dqn,compact,coverage
23910,-1.246500015258789,training_reward,dqn_compact_coverage,dqn,compact,coverage
23982,-1.2883000373840332,training_reward,dqn_compact_coverage,dqn,compact,coverage
24148,-0.604200005531311,training_reward,dqn_compact_coverage,dqn,compact,coverage
24289,-0.659500002861023,training_reward,dqn_compact_coverage,dqn,compact,coverage
24452,-0.619700014591217,training_reward,dqn_compact_coverage,dqn,compact,coverage
24496,-0.41260001063346863,training_reward,dqn_compact_coverage,dqn,compact,coverage
24642,-0.2978000044822693,training_reward,dqn_compact_coverage,dqn,compact,coverage
24679,0.041600000113248825,training_reward,dqn_compact_coverage,dqn,compact,coverage
24781,0.120899997651577,training_reward,dqn_compact_coverage,dqn,compact,coverage
24800,0.37439998984336853,training_reward,dqn_compact_coverage,dqn,compact,coverage
24878,0.34389999508857727,training_reward,dqn_compact_coverage,dqn,compact,coverage
25066,0.23559999465942383,training_reward,dqn_compact_coverage,dqn,compact,coverage
25169,0.29490000009536743,training_reward,dqn_compact_coverage,dqn,compact,coverage
25291,0.27140000462532043,training_reward,dqn_compact_coverage,dqn,compact,coverage
25323,0.2020999938249588,training_reward,dqn_compact_coverage,dqn,compact,coverage
25404,0.3061000108718872,training_reward,dqn_compact_coverage,dqn,compact,coverage
25450,0.27559998631477356,training_reward,dqn_compact_coverage,dqn,compact,coverage
25510,0.3361999988555908,training_reward,dqn_compact_coverage,dqn,compact,coverage
25616,0.45320001244544983,training_reward,dqn_compact_coverage,dqn,compact,coverage
25766,0.5584999918937683,training_reward,dqn_compact_coverage,dqn,compact,coverage
25804,0.6315000057220459,training_reward,dqn_compact_coverage,dqn,compact,coverage
26252,0.30720001459121704,training_reward,dqn_compact_coverage,dqn,compact,coverage
26394,0.20029999315738678,training_reward,dqn_compact_coverage,dqn,compact,coverage
26643,0.05920000001788139,training_reward,dqn_compact_coverage,dqn,compact,coverage
